lambda,opt     ,  p,  z,  n, k,  m,  t,  w
   128,SPEED,   127,  7,127, 76, 0,163, 85 
   128,BALANCED,127,  7,127, 76, 0,252,212
   128,SIG_SIZE,127,  7,127, 76, 0,960,938 
   192,SPEED,   127,  7,187,111, 0,245,127 
   192,BALANCED,127,  7,187,111, 0,398,340 
   192,SIG_SIZE,127,  7,187,111, 0,945,907 
   256,SPEED,   127,  7,251,150, 0,327,169 
   256,BALANCED,127,  7,251,150, 0,507,427 
   256,SIG_SIZE,127,  7,251,150, 0,968,912 
   128,SPEED,   509,127, 55, 36,25,153, 79 
   128,BALANCED,509,127, 55, 36,25,243,206
   128,SIG_SIZE,509,127, 55, 36,25,871,850 
   192,SPEED,   509,127, 79, 48,40,230,123 
   192,BALANCED,509,127, 79, 48,40,255,176 
   192,SIG_SIZE,509,127, 79, 48,40,949,914 
   256,SPEED,   509,127,106, 69,48,306,157 
   256,BALANCED,509,127,106, 69,48,356,257 
   256,SIG_SIZE,509,127,106, 69,48,996,945 
